V1	S53	S57	S60	S63	S90	S69	S76	S77	S55	S62	S92	S79	S82	S83	S84	S85	S86	S87	S88	S78	S65	S70	S74a	S80	S81	S51	S90	S94	S95	S96	S101	S109	S74	S93	S100	S102	S99	S107	S54	S104	S105	S111	S112	S113	S114	S98	S118	S119	S120	S121	S122	S155	S154	S156	S157	S159	S160	S161	S184	S169	S175	S162	S180	S185	S178	S202	S203	S204	S206	S207	S208	S205	S301	S302	S304	S308	S307	S304
S96	472913.4419	473046.2489	472892.1194	472764.0264	10027.20103	111090.9246	112887.7225	113812.2086	59945.80718	58396.66467	58656.20665	14022.11882	5635.232305	5608.541004	5250.783025	5194.181365	37569.2474	6284.869995	6427.575759	13404.02672	6345.775498	7028.824032	7582.866025	8845.066534	9542.332703	20242.67321	10027.20103	20098.02264	10308.97956	0	448.3762954	464.3845024	7582.866025	252188.0169	282247.8297	281679.6251	213.2468022	40780.84368	7181.549652	25503.64766	25851.65841	6414.012491	6848.705219	5836.817965	5922.538389	252789.398	18490.561	12712.58135	14459.14531	8606.940978	9503.846299	58277.60355	58803.99562	60009.38245	30879.11483	112865.4581	113891.457	110992.9861	7091.404914	7274.810288	7134.770644	7134.260695	6859.830147	6808.002114	6524.007307	5359.658146	5739.526295	5831.094267	5667.618756	5474.531029	5657.867099	5408.265251	289.2111955	404.1549972	140.0003339	180.9829267	140.0003339	140.0003339
S101	473039.5571	473172.4999	473018.4898	472890.263	10457.63829	110988.8178	112791.6503	113719.545	59835.88301	58267.73883	58521.57248	14386.76305	5582.667742	5538.032235	5181.740445	5177.590518	37338.6406	6348.224506	6477.240402	13830.27214	5965.443715	6646.221014	7193.42749	8544.029758	9260.911952	20548.61149	10457.63829	20398.03235	10195.05816	448.3762954	0	120.6763275	7193.42749	252193.1731	282259.9502	281692.0968	252.7369849	40997.08792	7544.543621	25739.81637	26089.13601	6369.982213	6900.837726	5766.885715	5921.31786	252794.4693	18401.35088	12784.73958	14378.03342	8683.271099	9713.186948	58148.42281	58669.67384	59898.74941	30984.14727	112769.4854	113798.7072	110890.6166	6701.856868	6896.034756	6749.592341	6756.100283	6490.703011	6433.945744	6143.600106	5279.189708	5675.097208	5789.51519	5631.342473	5388.729863	5568.161237	5348.788253	450.6719603	671.9823981	584.7021315	328.6618618	584.7021315	584.7021315
S109	472923.7846	473056.7382	472902.7376	472774.5002	10491.42208	110871.2494	112673.718	113601.4175	59952.97717	58383.44046	58636.80642	14456.46883	5462.359281	5418.20784	5061.831654	5056.916956	37442.47332	6229.475878	6357.870711	13867.66255	5900.358826	6582.265019	7132.739404	8453.386697	9165.829816	20636.37423	10491.42208	20487.24907	10312.42436	464.3845024	120.6763275	0	7132.739404	252072.5067	282139.3222	281571.4715	251.4220196	41102.59024	7476.140469	25842.03043	26191.1357	6249.549403	6781.527962	5647.064437	5800.719575	252673.8026	18519.89608	12903.51595	14497.04396	8801.665512	9818.924942	58264.10434	58784.93357	60015.7957	31101.29069	112651.5473	113680.5846	110773.0646	6641.162373	6830.415439	6686.830609	6690.193474	6420.993137	6366.241439	6078.580513	5159.693487	5555.096646	5669.017959	5510.769354	5269.465608	5449.093268	5228.624423	532.8843488	748.9075665	604.3848361	387.5827155	604.3848361	604.3848361
S74	471323.9686	471459.1047	471307.0557	471176.6684	17511.61857	106152.8332	108028.9264	108998.608	62273.58327	60422.25134	60584.33446	21565.53655	6066.619627	5838.000728	5808.003685	6407.431641	38016.02941	7754.599292	7643.168434	20905.84201	1261.309232	590.4461637	0	2841.277262	3693.470583	27536.57917	17511.61857	27359.46686	14098.27168	7582.866025	7193.42749	7132.739404	0	248688.5166	278844.7857	278282.0794	7374.114817	47346.71498	12395.53308	32305.15739	32661.38356	6386.836197	7879.744305	5886.806681	6787.407545	249288.4135	21908.573	18315.80508	18240.88687	14508.07933	16328.17981	60299.78718	60736.32788	62325.22039	36392.13498	108008.0428	109076.5792	106051.4839	491.5879995	450.5502415	466.0114672	563.7656026	930.3258101	893.541923	1088.190681	5683.089514	5938.088202	6249.178062	6276.020627	5630.008802	5603.108248	5942.017635	7640.985878	7862.943627	7718.89677	7517.104064	7718.89677	7718.89677
S93	240025.9791	240195.7437	240085.3274	239920.6921	255135.4243	146782.2223	144513.3556	143317.6835	310734.2419	308669.511	308739.2709	260581.9905	246633.6581	246703.2355	247052.2899	247015.6825	285156.0669	245932.7787	245774.7039	256595.0205	249048.3511	248763.9582	248688.5166	245887.6766	245014.8139	267310.0393	255135.4243	267432.5005	262144.8415	252188.0169	252193.1731	252072.5067	248688.5166	0	30347.5088	29814.0538	252127.0688	288483.0404	247872.4498	274157.0911	274416.2741	245841.9426	245358.2997	246476.621	246273.4253	603.2339617	270329.4939	264755.716	266409.7543	260693.7806	260673.2892	308545.5861	308893.1489	310777.6795	282277.4254	144523.6939	143253.1189	146899.0654	248919.4627	248542.9651	248779.9619	248598.4809	248528.3913	248667.8476	248960.6828	246975.494	246558.164	246416.8563	246570.1506	246878.5416	246711.4808	246873.9034	252463.5131	252579.2724	252222.9869	252303.9148	252222.9869	252222.9869
S100	212622.479	212798.0377	212697.6051	212527.21	285026.5586	177112.7083	174847.9834	173654.7282	340944.112	338898.4925	338974.9234	290441.6247	276708.9664	276781.9073	277129.7086	277083.5889	315418.8325	275983.6709	275828.5221	286424.4668	279188.6616	278912.5808	278844.7857	276037.9326	275166.402	297126.2602	285026.5586	297256.1682	292243.1417	282247.8297	282259.9502	282139.3222	278844.7857	30347.5088	0	609.4618728	282190.0745	318198.8172	277835.3979	303985.675	304239.9686	275917.0593	275410.8597	276555.813	276338.7943	29759.69167	300439.0564	294783.9753	296506.4507	290731.931	290662.3001	338774.6277	339128.7423	340988.5046	312221.0322	174858.5008	173589.9049	177229.419	279070.0665	278693.6962	278930.2746	278747.4983	278672.6468	278812.4022	279103.0803	277055.2741	276636.0175	276490.3908	276642.3579	276959.6587	276793.9407	276949.9958	282524.6656	282637.4531	282280.6729	282365.8816	282280.6729	282280.6729
S102	212965.7261	213141.0586	213040.2104	212870.0401	284451.1856	176587.2463	174321.291	173127.2312	340384.9903	338340.9807	338418.0071	289865.0976	276141.5871	276214.7027	276562.4362	276515.8266	314864.6544	275415.066	275260.0621	285846.9479	278624.941	278349.3827	278282.0794	275474.8555	274603.4153	296548.2334	284451.1856	296678.3835	291676.8955	281679.6251	281692.0968	281571.4715	278282.0794	29814.0538	609.4618728	0	281622.0307	317617.6095	277262.8454	303408.008	303662.139	275349.6752	274842.3406	275988.6371	275770.908	29227.61224	299873.3948	294214.1674	295940.0923	290162.6148	290090.7564	338217.1216	338571.8201	340429.4595	311647.4783	174331.7517	173062.4974	176703.994	278506.9937	278130.6337	278367.1841	278184.3263	278109.1748	278248.9481	278539.4898	276488.1257	276068.771	275922.9211	276074.8188	276392.5811	276226.935	276382.6556	281956.5263	282069.1645	281712.3619	281797.7843	281712.3619	281712.3619
S99	472910.0346	473042.909	472888.8386	472760.6793	10240.43555	110982.7999	112782.148	113708.0798	59956.74867	58398.23375	58654.94034	14224.06472	5544.247655	5509.791614	5152.365824	5118.70326	37518.20393	6247.195374	6383.493548	13617.23247	6138.759731	6821.404537	7374.114817	8660.104919	9363.857077	20427.2622	10240.43555	20280.65661	10316.062	213.2468022	252.7369849	251.4220196	7374.114817	252127.0688	282190.0745	281622.0307	0	40933.98613	7308.2741	25663.9827	26012.48538	6327.28522	6806.023366	5738.485218	5854.580223	252728.4115	18510.66398	12805.84497	14482.77131	8701.116113	9652.887596	58279.04537	58802.88586	60019.97733	30987.51273	112759.9256	113787.2918	110884.7506	6882.595486	7068.231954	6926.82985	6927.802569	6655.393772	6602.420983	6316.997093	5256.462688	5643.486641	5745.056915	5583.791812	5369.172497	5551.004039	5314.100595	356.0330655	545.8904283	353.1859037	188.5548978	353.1859037	353.1859037
S107	502638.212	502762.2498	502600.8558	502481.3975	34402.76615	150813.079	152492.6004	153348.4142	40967.40974	41637.57883	42365.64406	28739.38984	46129.55801	46167.28388	45821.29558	45576.12809	39158.09072	46089.02252	46307.43331	32312.37713	46358.05171	46946.57795	47346.71498	49387.37929	50171.09585	21699.98109	34402.76615	21669.58202	34197.92646	40780.84368	40997.08792	41102.59024	47346.71498	288483.0404	318198.8172	317617.6095	40933.98613	0	42431.79006	15358.13656	15025.74817	46827.84505	46652.41971	46383.28164	46167.64005	289086.2471	29358.28769	29192.28325	31094.03196	32839.6623	31283.92082	41576.93075	42441.87082	41080.25182	13735.1302	152468.4997	153429.1152	150720.1591	46906.8104	47218.79198	47007.43454	47098.75932	46951.69216	46849.97748	46518.17698	45959.97496	46271.38768	46270.54856	46095.91937	46085.8986	46273.92748	45939.6913	40583.75595	40389.94084	40684.39387	40747.82384	40684.39387	40684.39387
S54	467175.6794	467307.1089	467151.7805	467025.0436	8164.161535	108403.1214	110103.7818	110974.5543	65709.95827	64338.85176	64648.39854	13770.87901	6734.67736	6938.302323	6814.769545	6212.254659	44318.64173	5423.092535	5646.695011	11035.99594	11232.73026	11819.71204	12395.53308	11987.55281	12234.52333	20810.22813	8164.161535	20800.13596	16612.12626	7181.549652	7544.543621	7476.140469	12395.53308	247872.4498	277835.3979	277262.8454	7308.2741	42431.79006	0	27164.68113	27476.69328	6896.314508	5737.038079	7008.386226	6186.83658	248474.7563	24379.08061	17347.00031	20387.58266	13598.64683	12899.48638	64222.3534	64793.097	65780.02685	34414.42513	110080.0365	111054.9695	108309.4281	11987.07318	11958.27075	11949.35943	11833.24491	11468.75816	11504.07691	11375.99582	6974.968098	6908.990217	6661.855333	6549.599028	7072.312236	7180.691062	6749.80217	7421.195149	7349.296461	7096.292589	7362.400829	7096.292589	7096.292589
S104	490450.4152	490577.3815	490418.3177	490295.9767	19262.58389	135566.4049	137268.3065	138137.5964	45940.65694	45588.01642	46148.52061	13653.04374	30790.05677	30832.5721	30488.77924	30232.04589	34352.05892	30731.02799	30949.65819	17562.5683	31259.41894	31872.52602	32305.15739	34207.20328	34968.26163	6882.20118	19262.58389	6732.028662	20000.15468	25503.64766	25739.81637	25842.03043	32305.15739	274157.0911	303985.675	303408.008	25663.9827	15358.13656	27164.68113	0	359.7750241	31481.55705	31294.28416	31046.85433	30816.35965	274760.0683	17560.33478	14682.14783	17806.94074	17901.59063	16050.9505	45494.50755	46264.79207	46037.75886	10383.09497	137244.5425	138218.0533	135472.5414	31849.34471	32144.21864	31941.95995	32018.90974	31847.58506	31753.25964	31424.89925	30629.83472	30934.15022	30927.2099	30752.50376	30756.4994	30944.4394	30603.50982	25317.51358	25118.36021	25402.42255	25479.59277	25402.42255	25402.42255
S105	490628.9714	490755.8394	490596.6959	490474.4516	19557.7078	135879.5635	137579.2983	138447.3503	45904.34504	45575.32787	46140.50671	13938.43464	31130.88088	31174.22269	30830.7925	30571.97296	34525.89646	31065.03701	31284.07915	17821.58773	31614.44759	32228.09742	32661.38356	34559.53301	35319.64463	7120.381123	19557.7078	6984.125182	20356.9386	25851.65841	26089.13601	26191.1357	32661.38356	274416.2741	304239.9686	303662.139	26012.48538	15025.74817	27476.69328	359.7750241	0	31820.92955	31627.64265	31388.21107	31154.36882	275019.2671	17867.51451	15040.55564	18148.31625	18260.52514	16403.02664	45482.46627	46255.98825	46001.94385	10346.40484	137555.5024	138527.8301	135785.7948	32205.27794	32499.76031	32297.71638	32374.33909	32202.43371	32108.30199	31780.04921	30972.1957	31275.37341	31267.26849	31092.55316	31098.96075	31286.87854	30944.92865	25666.30192	25466.80637	25750.0871	25828.23292	25750.0871	25750.0871
S111	467058.5677	467192.2053	467038.8105	466909.8989	13946.80062	104709.9004	106498.0701	107418.2732	65935.3672	64285.94324	64512.60119	19029.94168	791.9310887	893.0362631	1220.589428	1257.622684	42752.44511	1524.031507	1343.38746	17210.31359	5541.499593	5909.082566	6386.836197	5210.449538	5359.836598	25764.2447	13946.80062	25672.58016	16390.09416	6414.012491	6369.982213	6249.549403	6386.836197	245841.9426	275917.0593	275349.6752	6327.28522	46827.84505	6896.314508	31481.55705	31820.92955	0	1501.588301	688.8597831	753.128936	246443.1431	24621.70859	19126.33381	20631.46865	15020.67781	15707.58677	64165.5301	64662.09781	65995.33637	37268.57034	106475.6757	107497.6228	104612.3685	6118.866346	5941.277503	6028.536005	5852.840219	5504.502339	5595.117347	5618.158104	1175.182319	738.9581937	583.0444338	750.3200514	1109.679117	994.2053674	1034.388122	6675.23005	6815.881223	6469.305818	6510.574949	6469.305818	6469.305818
S112	466204.0485	466337.2924	466183.5486	466055.0247	13248.98964	104602.4892	106368.3796	107276.0788	66708.7053	65108.9472	65350.76986	18528.32736	1925.306846	2136.307012	2318.30373	1922.288424	43808.39143	582.7770999	424.2073896	16419.59024	6997.890174	7392.147206	7879.744305	6647.83399	6718.279915	25385.39408	13248.98964	25315.67434	17080.39074	6848.705219	6900.837726	6781.527962	7879.744305	245358.2997	275410.8597	274842.3406	6806.023366	46652.41971	5737.038079	31294.28416	31627.64265	1501.588301	0	2027.282284	1219.562874	245959.7764	25298.27217	19445.42401	21278.13892	15355.29175	15756.56709	64989.14071	65499.52836	66770.59759	37453.66132	106345.629	107355.725	104505.9346	7599.74765	7432.683493	7513.26875	7341.157547	6989.206361	7075.627157	7083.340604	2371.498998	2004.20363	1696.937256	1736.007919	2371.562579	2337.201838	2129.078436	7130.226453	7232.609524	6874.974255	6975.671971	6874.974255	6874.974255
S113	467742.1518	467875.8164	467722.4455	467593.5074	13753.27884	105258.3313	107052.5626	107976.1222	65260.29176	63606.00955	63831.35905	18732.97068	294.9922174	228.8584598	586.1694203	899.9315106	42064.06117	1871.865028	1757.442892	17054.27186	4972.616101	5383.413	5886.806681	4984.085226	5243.039432	25406.93399	13753.27884	25306.51451	15731.89987	5836.817965	5766.885715	5647.064437	5886.806681	246476.621	276555.813	275988.6371	5738.485218	46383.28164	7008.386226	31046.85433	31388.21107	688.8597831	2027.282284	0	909.0922718	247077.7674	23962.47899	18544.31586	19978.30975	14439.54726	15208.75581	63485.54466	63980.91455	65320.05313	36712.97321	107030.2659	108055.3893	105160.5317	5588.200959	5437.330512	5506.457336	5340.102603	4983.368845	5064.522985	5061.121757	500.6393897	118.5479627	370.115809	458.8645965	421.8715887	317.9929679	443.6381751	6090.229687	6240.53303	5899.990544	5924.057167	5899.990544	5899.990544
S114	467305.243	467438.6541	467285.0581	467156.3697	13197.61277	105282.2343	107063.1188	107979.1726	65639.94677	64017.94848	64253.2417	18301.78126	731.5936496	956.5463281	1099.964719	760.754956	42629.90704	967.2410395	880.5413098	16457.7849	5845.492189	6276.708773	6787.407545	5844.85167	6048.859051	25057.52397	13197.61277	24969.86934	16041.13585	5922.538389	5921.31786	5800.719575	6787.407545	246273.4253	276338.7943	275770.908	5854.580223	46167.64005	6186.83658	30816.35965	31154.36882	753.128936	1219.562874	909.0922718	0	246874.748	24270.12493	18613.41634	20263.14024	14510.19204	15099.17201	63897.8727	64402.32272	65700.96304	36713.23257	107040.6057	108058.6233	105185.0185	6479.259912	6337.384739	6400.859917	6237.789381	5878.907313	5956.498824	5940.787647	1164.44005	849.3751341	540.2645948	528.3962621	1181.657405	1184.767592	914.2843038	6193.992563	6318.970628	5965.860401	6032.868522	5965.860401	5965.860401
S98	239542.5667	239712.4895	239602.3288	239437.5364	255738.16	147365.0899	145096.9539	143901.7583	311332.8147	309267.5329	309337.0814	261184.863	247234.8549	247304.3883	247653.4586	247616.9726	285752.9224	246534.2736	246376.1654	257198.0064	249648.5484	249364.0024	249288.4135	246487.6947	245614.808	267913.0597	255738.16	268035.4978	262745.6995	252789.398	252794.4693	252673.8026	249288.4135	603.2339617	29759.69167	29227.61224	252728.4115	289086.2471	248474.7563	274760.0683	275019.2671	246443.1431	245959.7764	247077.7674	246874.748	0	270930.1718	265357.4301	267010.6295	261295.3959	261275.3745	309143.6063	309490.9611	311376.2263	282879.8307	145107.3263	143837.1401	147481.9112	249519.469	249142.9697	249379.9741	249198.518	249128.5175	249267.968	249560.8424	247576.6319	247159.3278	247018.0763	247171.3873	247479.6618	247312.5834	247475.0897	253064.8776	253180.6723	252824.3932	252905.2698	252824.3932	252824.3932
S118	491357.2919	491489.6906	491335.2017	491207.5124	20337.54116	128035.9007	129923.3257	130897.9724	41475.6944	39999.45566	40290.89304	18109.79897	23832.81267	23740.26616	23401.38705	23512.01029	20985.27044	24749.26078	24874.18119	21631.34525	21390.06301	21747.02868	21908.573	24612.84504	25490.71729	17869.28513	20337.54116	17482.44547	8231.829065	18490.561	18401.35088	18519.89608	21908.573	270329.4939	300439.0564	299873.3948	18510.66398	29358.28769	24379.08061	17560.33478	17867.51451	24621.70859	25298.27217	23962.47899	24270.12493	270930.1718	0	7933.24137	4038.891239	10854.82415	12582.57655	39881.83483	40436.63321	41540.99354	16217.87457	129902.6199	130975.8018	127933.9931	21614.0745	21987.79446	21748.88569	21914.88824	21939.14092	21803.4089	21494.07661	23461.90591	23890.15465	24061.40647	23919.13375	23549.93373	23708.19191	23588.222	18203.05483	18128.41557	18484.00811	18349.55723	18484.00811	18484.00811
S119	484503.2657	484634.4345	484478.8803	484352.4016	12445.33533	123759.9042	125569.3436	126500.0117	48463.10587	47203.75499	47551.61024	10434.55292	18347.49072	18315.60206	17958.20778	17899.19669	28915.55898	18865.4212	19036.38042	13729.00505	17428.55236	17966.99272	18315.80508	20593.02302	21427.98397	12091.15669	12445.33533	11757.89164	5366.299409	12712.58135	12784.73958	12903.51595	18315.80508	264755.716	294783.9753	294214.1674	12805.84497	29192.28325	17347.00031	14682.14783	15040.55564	19126.33381	19445.42401	18544.31586	18613.41634	265357.4301	7933.24137	0	4926.532711	4105.659653	4756.125161	47089.50372	47693.32575	48536.22236	18244.63975	125547.2702	126579.1114	123661.3664	17902.41129	18236.83163	18013.81772	18126.69177	18023.95884	17910.06487	17576.6245	18060.91723	18449.14458	18543.33635	18379.09369	18172.07698	18352.35077	18119.13928	12454.65256	12310.4564	12657.80719	12620.50921	12657.80719	12657.80719
S120	487318.9184	487451.3371	487296.866	487169.1567	16814.49811	124385.9335	126253.8861	127217.6688	45514.57173	44029.93379	44315.95435	15345.67415	19840.94291	19754.54383	19412.38318	19506.72741	24479.80379	20726.02709	20854.27755	18466.06192	17631.59712	18033.13374	18240.88687	20871.68922	21746.76449	16540.91322	16814.49811	16179.62546	4265.765977	14459.14531	14378.03342	14497.04396	18240.88687	266409.7543	296506.4507	295940.0923	14482.77131	31094.03196	20387.58266	17806.94074	18148.31625	20631.46865	21278.13892	19978.30975	20263.14024	267010.6295	4038.891239	4926.532711	0	6979.663259	9090.781501	43912.06728	44462.08045	45579.83745	18698.49882	126232.828	127295.8368	124284.8688	17914.57789	18283.30807	18045.4475	18200.96519	18196.71887	18064.41407	17746.38782	19477.72198	19903.20521	20066.94933	19922.00323	19568.69448	19730.11882	19597.17448	14172.15665	14094.55348	14450.63936	14319.97004	14450.63936	14450.63936
S121	480749.7951	480881.483	480726.3769	480599.3866	10090.14267	119668.1682	121473.6966	122402.4392	52113.74777	50745.46775	51061.20781	10083.24839	14241.94184	14210.88009	13853.40264	13794.22384	31417.80971	14776.64052	14944.06777	12249.60625	13543.42254	14116.99863	14508.07933	16647.80202	17465.48651	13990.90013	10090.14267	13729.07577	4309.28494	8606.940978	8683.271099	8801.665512	14508.07933	260693.7806	290731.931	290162.6148	8701.116113	32839.6623	13598.64683	17901.59063	18260.52514	15020.67781	15355.29175	14439.54726	14510.19204	261295.3959	10854.82415	4105.659653	6979.663259	0	3014.442845	50629.25945	51205.39337	52183.42426	22314.14804	121451.5636	122481.5858	119569.815	14071.61476	14388.97319	14174.54193	14271.4559	14139.02859	14032.58485	13699.53438	13956.98514	14344.04488	14437.68323	14273.49505	14068.67804	14249.41994	14013.82913	8349.503986	8204.798312	8552.324656	8515.518061	8552.324656	8552.324656
S122	479912.9749	480043.7541	479887.8664	479761.7709	7762.120909	120357.3323	122124.9417	123032.2523	53145.45587	51924.99478	52280.8955	7069.489852	14971.78413	14986.4218	14633.32365	14450.30285	33498.95029	15175.51757	15373.27312	9475.578328	15243.32424	15871.5855	16328.17981	18156.58478	18918.2538	11405.24445	7762.120909	11182.53037	7231.368067	9503.846299	9713.186948	9818.924942	16328.17981	260673.2892	290662.3001	290090.7564	9652.887596	31283.92082	12899.48638	16050.9505	16403.02664	15707.58677	15756.56709	15208.75581	15099.17201	261275.3745	12582.57655	4756.125161	9090.781501	3014.442845	0	51811.31246	52421.9905	53220.04331	21751.31504	122102.1935	123111.9182	120260.6316	15861.34997	16141.90477	15947.2409	16013.24085	15826.43074	15736.97874	15411.86535	14762.26376	15101.3143	15134.16641	14961.37843	14884.93727	15072.37096	14766.72271	9301.508723	9110.053294	9411.292561	9466.159978	9411.292561	9411.292561
S155	531187.7486	531320.7377	531166.7641	531038.4962	59192.34823	164087.1849	166127.9482	167189.5648	3120.57906	124.1075982	832.8311009	55285.86052	63392.33403	63272.84682	62952.46393	63137.51623	23755.24799	64460.94847	64566.06883	59475.54659	60122.03483	60307.5034	60299.78718	63139.60195	63991.43341	51080.73494	59192.34823	50749.91316	47970.64186	58277.60355	58148.42281	58264.10434	60299.78718	308545.5861	338774.6277	338217.1216	58279.04537	41576.93075	64222.3534	45494.50755	45482.46627	64165.5301	64989.14071	63485.54466	63897.8727	309143.6063	39881.83483	47089.50372	43912.06728	50629.25945	51811.31246	0	875.4306738	3076.287088	35156.56906	166110.4324	167263.9203	163978.8412	60131.5749	60503.1355	60272.95154	60466.97728	60590.01444	60448.62209	60184.0247	62990.8042	63426.60282	63630.62026	63502.25486	63064.7691	63207.14192	63146.53079	57988.47639	57931.09025	58282.40956	58127.38081	58282.40956	58282.40956
S154	531703.3339	531836.5215	531682.723	531554.2597	59829.07012	164340.7105	166387.5701	167452.7408	3547.143965	840.6688165	154.0246429	55963.95847	63890.8771	63769.18824	63450.63677	63642.29028	23976.8399	64974.05944	65076.82095	60145.29248	60574.17477	60751.4248	60736.32788	63577.04619	64426.28636	51813.73935	59829.07012	51480.94116	48500.60319	58803.99562	58669.67384	58784.93357	60736.32788	308893.1489	339128.7423	338571.8201	58802.88586	42441.87082	64793.097	46264.79207	46255.98825	64662.09781	65499.52836	63980.91455	64402.32272	309490.9611	40436.63321	47693.32575	44462.08045	51205.39337	52421.9905	875.4306738	0	3479.078447	35937.1073	166370.2007	167526.9192	164232.1213	60573.91575	60944.68342	60715.31608	60910.22913	61037.54213	60896.1382	60634.08335	63487.07688	63923.14127	64129.82567	64002.8034	63559.82079	63700.78427	63645.16682	58514.8057	58459.99666	58810.47157	58652.57525	58810.47157	58810.47157
S156	532896.0199	533028.2898	532873.6856	532746.1262	60473.55398	166552.7333	168579.9363	169633.5847	116.4017813	2983.103834	3569.712473	56370.31193	65216.15508	65104.26663	64777.97075	64940.22334	26361.66131	66233.36811	66346.64972	60596.59479	62099.94656	62310.54158	62325.22039	65159.72673	66018.64028	51861.97763	60473.55398	51544.03063	49704.3068	60009.38245	59898.74941	60015.7957	62325.22039	310777.6795	340988.5046	340429.4595	60019.97733	41080.25182	65780.02685	46037.75886	46001.94385	65995.33637	66770.59759	65320.05313	65700.96304	311376.2263	41540.99354	48536.22236	45579.83745	52183.42426	53220.04331	3076.287088	3479.078447	0	35656.33872	168562.0988	169708.3269	166444.9345	62139.60362	62513.22101	62280.77193	62471.90662	62581.7245	62440.50385	62168.32243	64822.72908	65257.20691	65451.95508	65319.12396	64900.75761	65047.75431	64970.272	59720.82417	59654.2137	60008.16496	59863.64022	60008.16496	60008.16496
S157	500031.7633	500159.972	500001.9242	499878.3609	27325.41763	141969.9749	143765.2301	144686.7981	35558.95494	35248.10173	35823.56683	22226.65638	36501.90176	36485.24457	36127.5341	36023.86209	26587.91949	36870.92965	37059.07214	26466.42845	35583.61452	36087.40024	36392.13498	38784.89061	39631.34253	16563.51556	27325.41763	16291.7215	22435.17375	30879.11483	30984.14727	31101.29069	36392.13498	282277.4254	312221.0322	311647.4783	30987.51273	13735.1302	34414.42513	10383.09497	10346.40484	37268.57034	37453.66132	36712.97321	36713.23257	282879.8307	16217.87457	18244.63975	18698.49882	22314.14804	21751.31504	35156.56906	35937.1073	35656.33872	0	143742.9017	144766.137	141871.9983	36005.13338	36353.28189	36123.77201	36250.85205	36175.46873	36055.73534	35723.96578	36238.63988	36613.42525	36686.58529	36518.35488	36353.61711	36536.69157	36280.38437	30632.83369	30474.99729	30813.20288	30800.05578	30813.20288	30813.20288
S159	377910.3706	378063.2674	377929.6241	377781.7078	118065.7359	2371.617291	33.93403759	1277.041396	168531.0754	166234.3597	166216.4737	123729.3452	107241.0911	107258.1134	107615.8567	107722.6265	142406.1095	106926.7241	106730.0113	120289.14	108606.5218	108200.4351	108008.0428	105364.3961	104491.0532	130774.1461	118065.7359	130799.0322	122032.4255	112865.4581	112769.4854	112651.5473	108008.0428	144523.6939	174858.5008	174331.7517	112759.9256	152468.4997	110080.0365	137244.5425	137555.5024	106475.6757	106345.629	107030.2659	107040.6057	145107.3263	129902.6199	125547.2702	126232.828	121451.5636	122102.1935	166110.4324	166370.2007	168562.0988	143742.9017	0	1322.966395	2489.264689	108321.8333	107951.7073	108189.9257	108032.5439	108037.677	108169.3437	108488.768	107505.8474	107129.5693	107057.3127	107225.9792	107391.5967	107209.1338	107462.5418	113113.9644	113269.4845	112930.2321	112946.9654	112930.2321	112930.2321
S160	376588.4963	376741.3749	376607.7102	376459.8117	119027.0507	3694.163371	1322.430978	82.30339627	169676.8652	167387.8726	167373.1565	124689.8191	108264.6033	108283.3969	108641.1645	108743.2578	143566.2664	107937.1544	107741.526	121230.673	109667.0292	109264.944	109076.5792	106425.3779	105551.3838	131732.0323	119027.0507	131759.642	123090.7998	113891.457	113798.7072	113680.5846	109076.5792	143253.1189	173589.9049	173062.4974	113787.2918	153429.1152	111054.9695	138218.0533	138527.8301	107497.6228	107355.725	108055.3893	108058.6233	143837.1401	130975.8018	126579.1114	127295.8368	122481.5858	123111.9182	167263.9203	167526.9192	169708.3269	144766.137	1322.966395	0	3811.95805	109387.6393	109017.0225	109255.368	109097.0177	109099.4914	109231.5291	109550.2479	108532.1691	108154.1862	108079.559	108247.8644	108418.3977	108236.2918	108486.8775	114141.0445	114295.3976	113955.3146	113974.1511	113955.3146	113955.3146
S161	380394.2988	380547.2507	380413.6722	380265.7017	116320.6091	118.6453688	2489.613422	3765.989043	166414.7896	164102.7126	164078.4728	121984.9448	105374.528	105388.0195	105745.6506	105861.7124	140262.3611	105086.255	104887.422	118582.6686	106665.9248	106251.9022	106051.4839	103423.3763	102551.4835	129033.7971	116320.6091	129053.3116	120094.2014	110992.9861	110890.6166	110773.0646	106051.4839	146899.0654	177229.419	176703.994	110884.7506	150720.1591	108309.4281	135472.5414	135785.7948	104612.3685	104505.9346	105160.5317	105185.0185	147481.9112	127933.9931	123661.3664	124284.8688	119569.815	120260.6316	163978.8412	164232.1213	166444.9345	141871.9983	2489.264689	3811.95805	0	106370.6872	106001.6007	106239.5277	106084.1073	106094.5571	106225.4612	106546.2456	105633.6413	105260.826	105193.3035	105362.6585	105518.4561	105335.3148	105594.2989	111239.3018	111397.1184	111059.5727	111072.1194	111059.5727	111059.5727
