V1	S53	S57	S60	S63	S90	S69	S76	S77	S55	S62	S92	S79	S82	S83	S84	S85	S86	S87	S88	S78	S65	S70	S74a	S80	S81	S51	S90	S94	S95	S96	S101	S109	S74	S93	S100	S102	S99	S107	S54	S104	S105	S111	S112	S113	S114	S98	S118	S119	S120	S121	S122	S155	S154	S156	S157	S159	S160	S161	S184	S169	S175	S162	S180	S185	S178	S202	S203	S204	S206	S207	S208	S205	S301	S302	S304	S308	S307	S304
S92	531554.6669	531687.8658	531534.0774	531405.6029	59690.65385	164187.0588	166233.8448	167298.9762	3634.398071	819.8662938	0	55830.73797	63741.48509	63619.68307	63301.2271	63493.2295	23823.4754	64825.45659	64928.08437	60010.90671	60422.72853	60599.68113	60584.33446	63425.07524	64274.22889	51689.45792	59690.65385	51356.2917	48353.0968	58656.20665	58521.57248	58636.80642	60584.33446	308739.2709	338974.9234	338418.0071	58654.94034	42365.64406	64648.39854	46148.52061	46140.50671	64512.60119	65350.76986	63831.35905	64253.2417	309337.0814	40290.89304	47551.61024	44315.95435	51061.20781	52280.8955	832.8311009	154.0246429	3569.712473	35823.56683	166216.4737	167373.1565	164078.4728	60422.11775	60792.85716	60563.5185	60758.46171	60885.92547	60744.52153	60482.55985	63337.56918	63773.64566	63980.46732	63853.51588	63410.25056	63551.1423	63495.78051	58367.01421	58312.36593	58662.78632	58504.71321	58662.78632	58662.78632
S79	477846.1016	477974.7343	477817.0388	477693.0565	5664.340244	122077.6019	123753.4666	124609.1269	56285.9034	55393.07779	55830.73797	0	18448.59953	18544.8845	18236.79639	17849.5335	38969.6889	18007.59942	18241.54901	4273.436741	20349.73919	21028.15283	21565.53655	22774.00077	23396.30579	7052.878289	5664.340244	7069.82559	14252.27997	14022.11882	14386.76305	14456.46883	21565.53655	260581.9905	290441.6247	289865.0976	14224.06472	28739.38984	13770.87901	13653.04374	13938.43464	19029.94168	18528.32736	18732.97068	18301.78126	261184.863	18109.79897	10434.55292	15345.67415	10083.24839	7069.489852	55285.86052	55963.95847	56370.31193	22226.65638	123729.3452	124689.8191	121984.9448	21074.86111	21280.68293	21128.68286	21141.16995	20877.19202	20820.52986	20527.71156	18397.68111	18614.7113	18532.73857	18362.41702	18527.381	18707.82267	18307.17878	13936.52221	13714.82669	13891.55837	14069.10067	13891.55837	13891.55837
S82	467825.4278	467959.0025	467805.5517	467676.7021	13459.75293	105472.1979	107263.437	108185.2937	65155.97162	63512.66621	63741.48509	18448.59953	0	228.6950378	441.2698346	606.3389344	42028.40111	1694.037554	1610.515682	16759.60749	5114.257985	5550.792449	6066.619627	5253.384399	5528.047018	25132.30849	13459.75293	25033.54504	15601.04142	5635.232305	5582.667742	5462.359281	6066.619627	246633.6581	276708.9664	276141.5871	5544.247655	46129.55801	6734.67736	30790.05677	31130.88088	791.9310887	1925.306846	294.9922174	731.5936496	247234.8549	23832.81267	18347.49072	19840.94291	14241.94184	14971.78413	63392.33403	63890.8771	65216.15508	36501.90176	107241.0911	108264.6033	105374.528	5752.19205	5616.24988	5675.513979	5514.685319	5154.455239	5230.026649	5210.450066	449.5747051	180.2554634	245.7361773	209.4671902	450.528842	470.7671725	245.897665	5893.643994	6037.99974	5693.743519	5728.391203	5693.743519	5693.743519
S83	467951.5757	468085.2109	467931.814	467802.9047	13590.08166	105485.835	107280.4049	108204.1338	65044.38872	63393.27189	63619.68307	18544.8845	228.6950378	0	357.7719031	756.4830751	41872.36674	1921.259212	1832.641565	16899.47207	4889.173167	5322.764869	5838.000728	5049.66468	5343.106101	25206.11853	13590.08166	25104.07016	15509.31799	5608.541004	5538.032235	5418.20784	5838.000728	246703.2355	276781.9073	276214.7027	5509.791614	46167.28388	6938.302323	30832.5721	31174.22269	893.0362631	2136.307012	228.8584598	956.5463281	247304.3883	23740.26616	18315.60206	19754.54383	14210.88009	14986.4218	63272.84682	63769.18824	65104.26663	36485.24457	107258.1134	108283.3969	105388.0195	5524.445772	5387.644972	5447.377755	5286.233717	4926.162981	5002.116571	4984.259342	282.14623	154.8352461	439.555458	438.1622244	237.5164873	246.6050958	237.7573767	5861.628411	6012.307514	5672.121072	5695.417971	5672.121072	5672.121072
S84	468266.2189	468399.8001	468246.355	468117.4991	13318.79151	105843.4724	107638.1472	108561.9018	64717.86772	63072.81301	63301.2271	18236.79639	441.2698346	357.7719031	0	611.9802394	41590.45598	2021.234739	1972.445774	16639.88603	4806.048984	5275.369147	5808.003685	5197.416292	5539.442736	24880.0373	13318.79151	24775.7911	15169.86529	5250.783025	5181.740445	5061.831654	5808.003685	247052.2899	277129.7086	276562.4362	5152.365824	45821.29558	6814.769545	30488.77924	30830.7925	1220.589428	2318.30373	586.1694203	1099.964719	247653.4586	23401.38705	17958.20778	19412.38318	13853.40264	14633.32365	62952.46393	63450.63677	64777.97075	36127.5341	107615.8567	108641.1645	105745.6506	5471.301091	5357.719491	5402.08434	5249.940619	4885.902331	4953.097655	4911.635774	170.8623583	494.7241489	684.7816767	589.5509005	295.3956175	471.0271012	198.526154	5504.063304	5654.541335	5314.384369	5337.902131	5314.384369	5314.384369
S85	468064.8262	468198.2238	468044.6158	467915.9407	12853.51639	105959.1515	107745.0598	108663.8733	64879.21527	63257.57994	63493.2295	17849.5335	606.3389344	756.4830751	611.9802394	0	41890.4879	1524.651953	1529.089118	16154.8637	5383.428727	5868.991665	6407.431641	5785.321003	6096.750591	24546.38507	12853.51639	24450.08855	15282.39658	5194.181365	5177.590518	5056.916956	6407.431641	247015.6825	277083.5889	276515.8266	5118.70326	45576.12809	6212.254659	30232.04589	30571.97296	1257.622684	1922.288424	899.9315106	760.754956	247616.9726	23512.01029	17899.19669	19506.72741	13794.22384	14450.30285	63137.51623	63642.29028	64940.22334	36023.86209	107722.6265	108743.2578	105861.7124	6062.294871	5957.567568	5996.386125	5847.753271	5482.733928	5546.50062	5494.382897	764.4664936	782.3252247	696.0800122	521.4949644	860.5432009	983.791165	542.4024158	5461.705149	5593.380164	5242.92233	5299.050602	5242.92233	5242.92233
S86	509305.3826	509441.0037	509289.3936	509158.5315	41258.56935	140371.1341	142423.3311	143492.2924	26343.91068	23878.54628	23823.4754	38969.6889	42028.40111	41872.36674	41590.45598	41890.4879	0	43341.04369	43400.2612	42608.81903	38062.60868	38126.33462	38016.02941	40831.69399	41639.29132	37377.6328	41258.56935	36987.29128	27760.40803	37569.2474	37338.6406	37442.47332	38016.02941	285156.0669	315418.8325	314864.6544	37518.20393	39158.09072	44318.64173	34352.05892	34525.89646	42752.44511	43808.39143	42064.06117	42629.90704	285752.9224	20985.27044	28915.55898	24479.80379	31417.80971	33498.95029	23755.24799	23976.8399	26361.66131	26587.91949	142406.1095	143566.2664	140262.3611	37930.64536	38285.74241	38070.30498	38274.02771	38456.1705	38316.72094	38093.04659	41594.49155	42026.67868	42273.88157	42171.8592	41645.63058	41760.7661	41788.97367	37287.40466	37285.38586	37608.51835	37398.75593	37608.51835	37608.51835
S87	466729.3381	466862.5014	466708.6863	466580.2418	12768.73438	105182.8446	106949.4643	107857.5159	66171.14179	64580.63105	64825.45659	18007.59942	1694.037554	1921.259212	2021.234739	1524.651953	43341.04369	0	238.9292441	15967.66155	6806.512752	7243.447792	7754.599292	6732.715155	6876.800649	24845.66722	12768.73438	24772.62181	16536.5079	6284.869995	6348.224506	6229.475878	7754.599292	245932.7787	275983.6709	275415.066	6247.195374	46089.02252	5423.092535	30731.02799	31065.03701	1524.031507	582.7770999	1871.865028	967.2410395	246534.2736	24749.26078	18865.4212	20726.02709	14776.64052	15175.51757	64460.94847	64974.05944	66233.36811	36870.92965	106926.7241	107937.1544	105086.255	7445.572539	7304.602377	7367.754904	7205.000188	6845.966531	6923.043889	6904.123506	2110.479419	1816.511536	1505.971478	1486.323868	2140.86893	2151.950667	1852.252854	6567.803905	6666.033248	6308.173763	6414.777432	6308.173763	6308.173763
S88	466626.6619	466759.8941	466606.1399	466477.6275	13007.18788	104984.0985	106752.7195	107661.914	66284.73591	64685.85987	64928.08437	18241.54901	1610.515682	1832.641565	1972.445774	1529.089118	43400.2612	238.9292441	0	16206.5605	6720.586929	7140.709811	7643.168434	6552.244415	6677.632511	25074.8778	13007.18788	25000.75937	16656.18336	6427.575759	6477.240402	6357.870711	7643.168434	245774.7039	275828.5221	275260.0621	6383.493548	46307.43331	5646.695011	30949.65819	31284.07915	1343.38746	424.2073896	1757.442892	880.5413098	246376.1654	24874.18119	19036.38042	20854.27755	14944.06777	15373.27312	64566.06883	65076.82095	66346.64972	37059.07214	106730.0113	107741.526	104887.422	7345.115051	7193.984097	7263.864484	7097.38826	6740.811051	6821.587686	6813.285906	2044.545519	1714.945904	1401.965177	1408.92647	2061.031559	2052.299808	1792.035426	6708.611255	6812.483119	6454.988913	6553.635557	6454.988913	6454.988913
S78	473584.7807	473713.3101	473555.5295	473431.6484	3395.438539	118673.7124	120313.7522	121149.6668	60513.05603	59583.66678	60010.90671	4273.436741	16759.60749	16899.47207	16639.88603	16154.8637	42608.81903	15967.66155	16206.5605	0	19647.1429	20330.34276	20905.84201	21599.70985	22099.33695	10728.69373	3395.438539	10838.90077	16557.66573	13404.02672	13830.27214	13867.66255	20905.84201	256595.0205	286424.4668	285846.9479	13617.23247	32312.37713	11035.99594	17562.5683	17821.58773	17210.31359	16419.59024	17054.27186	16457.7849	257198.0064	21631.34525	13729.00505	18466.06192	12249.60625	9475.578328	59475.54659	60145.29248	60596.59479	26466.42845	120289.14	121230.673	118582.6686	20419.10451	20557.18849	20445.3729	20415.88838	20105.76697	20076.78304	19823.22337	16809.59273	16937.07765	16790.67681	16633.18631	16934.97645	17099.24612	16666.64311	13406.9549	13192.5497	13264.26302	13501.95139	13264.26302	13264.26302
S65	471355.9171	471490.6588	471338.2528	471208.254	16252.56546	106766.63	108627.6785	109588.7935	62046.2382	60244.05567	60422.72853	20349.73919	5114.257985	4889.173167	4806.048984	5383.428727	38062.60868	6806.512752	6720.586929	19647.1429	0	684.8838832	1261.309232	3242.552142	4115.654585	26387.62904	16252.56546	26217.4496	13428.52559	6345.775498	5965.443715	5900.358826	1261.309232	249048.3511	279188.6616	278624.941	6138.759731	46358.05171	11232.73026	31259.41894	31614.44759	5541.499593	6997.890174	4972.616101	5845.492189	249648.5484	21390.06301	17428.55236	17631.59712	13543.42254	15243.32424	60122.03483	60574.17477	62099.94656	35583.61452	108606.5218	109667.0292	106665.9248	785.8205779	930.9603062	798.3021952	791.9288335	596.0467084	493.9040194	178.237365	4699.831659	5006.391657	5319.116106	5320.67971	4665.785321	4669.331012	4959.88976	6414.865458	6636.797201	6480.576972	6286.43666	6480.576972	6480.576972
S70	471244.3152	471379.2684	471227.0537	471096.8465	16935.57057	106352.9276	108221.4566	109186.8387	62257.91828	60429.76482	60599.68113	21028.15283	5550.792449	5322.764869	5275.369147	5868.991665	38126.33462	7243.447792	7140.709811	20330.34276	684.8838832	0	590.4461637	2878.182124	3754.453296	27043.20824	16935.57057	26870.33687	13858.04887	7028.824032	6646.221014	6582.265019	590.4461637	248763.9582	278912.5808	278349.3827	6821.404537	46946.57795	11819.71204	31872.52602	32228.09742	5909.082566	7392.147206	5383.413	6276.708773	249364.0024	21747.02868	17966.99272	18033.13374	14116.99863	15871.5855	60307.5034	60751.4248	62310.54158	36087.40024	108200.4351	109264.944	106251.9022	217.3485782	272.2355031	129.6851427	167.9796852	406.3996868	322.5099499	507.5172681	5156.145136	5428.880156	5741.331636	5759.690859	5109.113557	5092.229134	5416.072779	7095.216416	7317.193614	7163.892226	6967.973527	7163.892226	7163.892226
S74a	471323.9686	471459.1047	471307.0557	471176.6684	17511.61857	106152.8332	108028.9264	108998.608	62273.58327	60422.25134	60584.33446	21565.53655	6066.619627	5838.000728	5808.003685	6407.431641	38016.02941	7754.599292	7643.168434	20905.84201	1261.309232	590.4461637	0	2841.277262	3693.470583	27536.57917	17511.61857	27359.46686	14098.27168	7582.866025	7193.42749	7132.739404	0	248688.5166	278844.7857	278282.0794	7374.114817	47346.71498	12395.53308	32305.15739	32661.38356	6386.836197	7879.744305	5886.806681	6787.407545	249288.4135	21908.573	18315.80508	18240.88687	14508.07933	16328.17981	60299.78718	60736.32788	62325.22039	36392.13498	108008.0428	109076.5792	106051.4839	491.5879995	450.5502415	466.0114672	563.7656026	930.3258101	893.541923	1088.190681	5683.089514	5938.088202	6249.178062	6276.020627	5630.008802	5603.108248	5942.017635	7640.985878	7862.943627	7718.89677	7517.104064	7718.89677	7718.89677
S80	468495.5609	468630.7818	468478.8101	468348.339	18226.55781	103524.0851	105385.5398	106347.1603	65107.76502	63262.03612	63425.07524	22774.00077	5253.384399	5049.66468	5197.416292	5785.321003	40831.69399	6732.715155	6552.244415	21599.70985	3242.552142	2878.182124	2841.277262	0	877.9791923	29087.28444	18226.55781	28940.27099	16671.04543	8845.066534	8544.029758	8453.386697	2841.277262	245887.6766	276037.9326	275474.8555	8660.104919	49387.37929	11987.55281	34207.20328	34559.53301	5210.449538	6647.83399	4984.085226	5844.85167	246487.6947	24612.84504	20593.02302	20871.68922	16647.80202	18156.58478	63139.60195	63577.04619	65159.72673	38784.89061	105364.3961	106425.3779	103423.3763	3032.140557	2655.828002	2892.379771	2711.864551	2676.103928	2810.332208	3125.376443	5031.212895	5080.364694	5339.655841	5441.740829	4925.845214	4808.499221	5243.917808	8986.250267	9199.504704	8964.504658	8834.085265	8964.504658	8964.504658
S81	467678.1275	467813.449	467661.5691	467530.9986	18742.17112	102652.1295	104512.2197	105473.1461	65966.9668	64113.93475	64274.22889	23396.30579	5528.047018	5343.106101	5539.442736	6096.750591	41639.29132	6876.800649	6677.632511	22099.33695	4115.654585	3754.453296	3693.470583	877.9791923	0	29778.16862	18742.17112	29637.85697	17542.73696	9542.332703	9260.911952	9165.829816	3693.470583	245014.8139	275166.402	274603.4153	9363.857077	50171.09585	12234.52333	34968.26163	35319.64463	5359.836598	6718.279915	5243.039432	6048.859051	245614.808	25490.71729	21427.98397	21746.76449	17465.48651	18918.2538	63991.43341	64426.28636	66018.64028	39631.34253	104491.0532	105551.3838	102551.4835	3904.955609	3528.397957	3765.834057	3587.73762	3553.051492	3687.785515	4001.342217	5369.135408	5349.234704	5577.764204	5700.255407	5253.146937	5113.480184	5556.277581	9697.570504	9907.127306	9657.333949	9541.724345	9657.333949	9657.333949
S51	483687.4048	483814.7752	483656.0407	483533.3014	12715.45417	129126.3121	130798.3306	131651.2914	51769.96172	51180.70431	51689.45792	7052.878289	25132.30849	25206.11853	24880.0373	24546.38507	37377.6328	24845.66722	25074.8778	10728.69373	26387.62904	27043.20824	27536.57917	29087.28444	29778.16862	0	12715.45417	393.264244	17260.12904	20242.67321	20548.61149	20636.37423	27536.57917	267310.0393	297126.2602	296548.2334	20427.2622	21699.98109	20810.22813	6882.20118	7120.381123	25764.2447	25385.39408	25406.93399	25057.52397	267913.0597	17869.28513	12091.15669	16540.91322	13990.90013	11405.24445	51080.73494	51813.73935	51861.97763	16563.51556	130774.1461	131732.0323	129033.7971	27056.45183	27308.30584	27129.9094	27173.90668	26951.48593	26875.84507	26561.89358	25033.53453	25290.18762	25239.69003	25066.29315	25162.95178	25348.10807	24970.32334	20103.59532	19888.92803	20124.57941	20254.10844	20124.57941	20124.57941
S90	473073.2379	473202.8495	473045.9724	472921.026	0	116413.2718	118089.8394	118946.3763	60394.69177	59303.76325	59690.65385	5664.340244	13459.75293	13590.08166	13318.79151	12853.51639	41258.56935	12768.73438	13007.18788	3395.438539	16252.56546	16935.57057	17511.61857	18226.55781	18742.17112	12715.45417	0	12733.39565	14294.45494	10027.20103	10457.63829	10491.42208	17511.61857	255135.4243	285026.5586	284451.1856	10240.43555	34402.76615	8164.161535	19262.58389	19557.7078	13946.80062	13248.98964	13753.27884	13197.61277	255738.16	20337.54116	12445.33533	16814.49811	10090.14267	7762.120909	59192.34823	59829.07012	60473.55398	27325.41763	118065.7359	119027.0507	116320.6091	17025.24177	17161.98364	17050.83375	17020.69562	16710.33204	16681.48247	16428.5308	13487.37801	13635.31416	13504.16861	13342.65957	13614.18675	13782.57428	13355.12909	10040.028	9828.029023	9887.253293	10129.99987	9887.253293	9887.253293
S94	483911.528	484039.0012	483880.3507	483757.5101	12733.39565	129146.0522	130823.1451	131678.949	51452.33537	50850.18884	51356.2917	7069.82559	25033.54504	25104.07016	24775.7911	24450.08855	36987.29128	24772.62181	25000.75937	10838.90077	26217.4496	26870.33687	27359.46686	28940.27099	29637.85697	393.264244	12733.39565	0	16948.92754	20098.02264	20398.03235	20487.24907	27359.46686	267432.5005	297256.1682	296678.3835	20280.65661	21669.58202	20800.13596	6732.028662	6984.125182	25672.58016	25315.67434	25306.51451	24969.86934	268035.4978	17482.44547	11757.89164	16179.62546	13729.07577	11182.53037	50749.91316	51480.94116	51544.03063	16291.7215	130799.0322	131759.642	129053.3116	26880.74286	27136.2199	26955.77002	27002.40479	26783.83755	26706.62089	26391.19585	24928.12834	25190.0908	25144.26508	24970.56115	25057.38338	25243.01132	24868.76459	19954.36575	19740.76793	19981.31663	20106.18801	19981.31663	19981.31663
S95	483222.1964	483354.9817	483200.8322	483072.7614	14294.45494	120194.8592	122053.6429	123012.4855	49641.2557	48089.56942	48353.0968	14252.27997	15601.04142	15509.31799	15169.86529	15282.39658	27760.40803	16536.5079	16656.18336	16557.66573	13428.52559	13858.04887	14098.27168	16671.04543	17542.73696	17260.12904	14294.45494	16948.92754	0	10308.97956	10195.05816	10312.42436	14098.27168	262144.8415	292243.1417	291676.8955	10316.062	34197.92646	16612.12626	20000.15468	20356.9386	16390.09416	17080.39074	15731.89987	16041.13585	262745.6995	8231.829065	5366.299409	4265.765977	4309.28494	7231.368067	47970.64186	48500.60319	49704.3068	22435.17375	122032.4255	123090.7998	120094.2014	13750.08434	14113.81487	13877.61979	14025.23932	14002.08928	13872.40172	13549.77249	15231.28013	15658.97816	15829.58077	15687.45916	15320.11691	15479.4505	15356.49922	10020.03076	9960.459135	10312.05538	10161.03011	10312.05538	10312.05538
